City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Berezovyy,51.6667,135.7,27.97,65,31,2.3,RU,1666544426
Bois-Guillaume,49.4602,1.1222,65.98,79,70,10.36,FR,1666544427
Srednekolymsk,67.45,153.6833,-1.62,94,97,7.7,RU,1666544427
Ukiah,39.1502,-123.2078,56.88,63,0,4.0,US,1666544281
Ixtapa,20.7,-105.2,84.22,80,100,1.99,MX,1666544418
North Myrtle Beach,33.816,-78.68,73.11,46,80,5.99,US,1666544230
Amahai,-3.3333,128.9167,79.03,84,100,1.39,ID,1666544429
Trairi,-3.2778,-39.2689,86.38,57,53,14.03,BR,1666544170
Lata,40.1629,-8.3327,65.07,81,66,8.88,PT,1666544433
Baijiantan,45.6333,85.1833,54.28,44,100,31.32,CN,1666544434
Kyabé,9.4515,18.9449,80.4,59,83,3.44,TD,1666544434
Kiunga,-6.1219,141.2906,72.45,99,79,1.72,PG,1666544435
Al Bardīyah,31.7561,25.0865,69.3,61,0,9.57,LY,1666544436
Ballina,-28.8667,153.5667,67.01,99,100,10.54,AU,1666544437
Vieux-Habitants,16.0589,-61.7659,89.17,66,7,5.37,GP,1666544438
Auriflama,-20.6856,-50.5547,91.06,31,19,5.68,BR,1666544438
Tasiilaq,65.6145,-37.6368,32.16,95,100,4.97,GL,1666544439
Yerbogachën,61.2767,108.0108,43.5,84,94,15.26,RU,1666544439
Longyearbyen,78.2186,15.6401,21.04,68,75,6.91,SJ,1666544440
Bandarbeyla,9.4942,50.8122,79.03,80,6,4.7,SO,1666544440
Alihe,50.5667,123.7167,25.5,65,0,2.64,CN,1666544441
San Patricio,28.017,-97.5169,85.89,54,100,20.18,US,1666544441
Leh,34.1667,77.5833,32.49,35,0,0.58,IN,1666544442
Ngunguru,-35.6167,174.5,50.81,85,9,6.67,NZ,1666544442
Matadi,-5.8167,13.45,88.57,56,100,6.11,CD,1666544443
Mayo,38.8876,-76.5119,66.45,75,100,5.01,US,1666544443
Vieques,18.425,-65.8329,91.67,69,11,9.4,PR,1666544444
Porbandar,21.6422,69.6093,82.49,54,0,4.52,IN,1666544444
Redmond,47.674,-122.1215,48.34,93,95,1.99,US,1666544356
Dikson,73.5069,80.5464,25.77,88,100,9.89,RU,1666544445
Tazovsky,67.4667,78.7,28.08,86,99,17.13,RU,1666544446
Šalčininkai,54.3,25.3833,50.85,87,99,7.11,LT,1666544446
Isoka,-10.1606,32.6335,79.25,27,68,4.43,ZM,1666544447
Vrises,35.492,23.8899,67.19,70,33,3.51,GR,1666544447
Almaty,43.25,76.95,46.85,85,100,3.22,KZ,1666544448
Cairns,-16.9167,145.7667,80.55,88,40,4.61,AU,1666544448
Saldanha,-33.0117,17.9442,63.3,87,88,24.9,ZA,1666544449
Visby,57.6409,18.296,49.05,87,100,2.3,SE,1666544173
Itarema,-2.9248,-39.9167,86.04,60,74,17.11,BR,1666544450
Mossamedes,-15.1961,12.1522,69.28,82,40,9.33,AO,1666544450
Severo-Kuril'sk,50.6789,156.125,37.08,98,100,7.85,RU,1666544451
Harper,4.375,-7.7169,79.11,83,92,8.01,LR,1666544452
Edéia,-17.3383,-49.9314,91.92,35,98,2.95,BR,1666544452
Yichun,47.7,128.9,24.98,72,0,2.24,CN,1666544453
Turukhansk,65.8167,87.9833,26.31,95,96,15.17,RU,1666544453
Pochutla,15.7432,-96.4661,85.82,70,22,5.12,MX,1666544454
East London,-33.0153,27.9116,69.75,77,80,13.44,ZA,1666544454
Berdigestyakh,62.0989,126.6992,26.53,94,99,7.23,RU,1666544455
Quatre Cocos,-20.2078,57.7625,73.09,81,44,9.89,MU,1666544456
Yulara,-25.2406,130.9889,68.31,46,24,15.57,AU,1666544456
Xining,36.6167,101.7667,48.43,63,100,0.6,CN,1666544457
Tabriz,38.08,46.2919,51.26,82,0,4.61,IR,1666544411
Tigil',57.8,158.6667,19.72,85,85,4.54,RU,1666544457
Petatlán,17.5167,-101.2667,85.44,64,83,3.65,MX,1666544205
Kavieng,-2.5744,150.7967,80.1,70,21,2.15,PG,1666544458
Chicama,-7.8447,-79.1469,72.84,56,89,10.42,PE,1666544458
Ilhabela,-23.7781,-45.3581,72.27,76,34,5.53,BR,1666544459
Lumeje,-11.55,20.7833,79.97,41,57,4.43,AO,1666544460
Vostok,46.4856,135.8833,25.2,96,20,1.25,RU,1666544460
Lagoa,39.05,-27.9833,64.67,68,92,25.57,PT,1666544461
Peniche,39.3558,-9.3811,66.29,87,83,15.21,PT,1666544462
Khāsh,28.2211,61.2158,66.47,25,0,5.61,IR,1666544462
Bubaque,11.2833,-15.8333,83.41,67,29,2.57,GW,1666544463
San Ignacio,17.1561,-89.0714,84.22,56,3,4.65,BZ,1666544463
Panabá,21.2833,-88.2667,85.64,41,0,6.64,MX,1666544464
Muros,42.7762,-9.0603,62.83,84,57,17.34,ES,1666544464
Aklavik,68.2191,-135.0107,10.76,97,93,2.8,CA,1666544465
Kayes,14.0,-11.0,90.45,31,95,3.89,ML,1666544465
Kitui,-1.367,38.0106,70.43,58,29,6.87,KE,1666544466
Sucilá,21.15,-88.3167,86.2,38,0,6.33,MX,1666544466
Dingle,10.9995,122.6711,76.26,91,75,5.59,PH,1666544467
Warman,52.3168,-106.5679,34.9,64,100,14.05,CA,1666544468
Jiwani,25.05,61.7417,80.67,72,0,11.63,PK,1666544468
San Cristobal,7.7669,-72.225,77.18,64,100,3.33,VE,1666544306
Cracow,43.7424,-82.8199,71.49,57,0,11.5,US,1666544469
Talara,-4.5772,-81.2719,67.82,73,98,19.51,PE,1666544469
Hashtrūd,37.4779,47.0508,55.11,57,0,1.9,IR,1666544470
Nikolskoye,59.7035,30.7861,44.49,86,100,7.11,RU,1666544470
Bukoba,-1.3317,31.8122,70.3,74,7,4.65,TZ,1666544471
Daru,-9.0763,143.2092,78.03,82,47,2.66,PG,1666544471
Tezu,27.9167,96.1667,73.08,64,99,2.55,IN,1666544472
Rosetta,31.4044,30.4164,72.66,65,1,15.75,EG,1666544472
Flinders,-34.5833,150.8552,64.18,93,100,4.0,AU,1666544473
Kurayoshi,35.4333,133.8167,54.0,86,99,9.93,JP,1666544473
Birjand,32.8663,59.2211,64.9,26,0,3.71,IR,1666544474
Kolomak,49.8399,35.3044,47.97,96,100,6.53,UA,1666544475
Esperance,-33.8667,121.9,56.34,68,76,19.35,AU,1666544475
Mount Isa,-20.7333,139.5,83.01,40,38,13.15,AU,1666544462
Miracema do Tocantins,-9.5618,-48.3967,96.71,35,67,3.56,BR,1666544476
Laško,46.1546,15.2356,65.12,98,79,4.45,SI,1666544477
Bambous Virieux,-20.3428,57.7575,73.22,82,46,10.16,MU,1666544477
Katsuura,35.1333,140.3,66.18,77,78,18.19,JP,1666544478
Kloulklubed,7.0419,134.2556,83.68,73,100,11.79,PW,1666544478
Launceston,-41.45,147.1667,49.6,80,96,21.85,AU,1666544479
Shingū,33.7333,135.9833,58.66,75,67,5.77,JP,1666544407
Ahipara,-35.1667,173.1667,50.2,87,1,2.89,NZ,1666544479
Manggar,-2.8833,108.2667,78.64,86,100,5.19,ID,1666544480
Havre-St-Pierre,50.2334,-63.5986,50.7,77,10,10.98,CA,1666544480
Grindavik,63.8424,-22.4338,41.47,93,75,20.71,IS,1666544481
Burgos,42.3394,-3.7079,59.41,55,20,25.32,ES,1666544481
Anaconda,46.1285,-112.9423,31.87,80,100,6.44,US,1666544482
Chernyshkovskiy,48.4219,42.2308,48.4,54,100,7.87,RU,1666544482
Yashkul',46.1711,45.3435,49.37,46,47,8.12,RU,1666544483
Glenluce,54.8798,-4.8084,54.88,94,100,5.61,GB,1666544483
Biabou,13.2,-61.1333,83.3,76,22,8.41,VC,1666544484
Poum,-20.2333,164.0167,74.23,91,100,28.92,NC,1666544484
Diamantino,-14.4086,-56.4461,81.52,68,100,1.45,BR,1666544485
Mandalgovi,45.7625,106.2708,40.28,37,0,8.75,MN,1666544485
Hobyo,5.3505,48.5268,79.41,80,94,11.9,SO,1666544486
Gamba,-2.65,10.0,77.61,88,96,8.61,GA,1666544486
Sayyan,15.1718,44.3244,59.43,22,0,5.35,YE,1666544487
Montero,-17.3333,-63.25,86.31,43,95,5.68,BO,1666544487
Kruisfontein,-34.0033,24.7314,68.88,90,100,4.23,ZA,1666544488
Kiama,-34.6833,150.8667,62.46,95,100,3.0,AU,1666544489
‘Āhuimanu,21.4447,-157.8378,74.79,88,28,3.0,US,1666544489
Rawson,-43.3002,-65.1023,76.75,19,63,17.11,AR,1666544458
Bo Phloi,14.3236,99.5161,74.89,82,36,4.34,TH,1666544490
Nurota,40.5614,65.6886,52.68,76,96,6.71,UZ,1666544491
Abū Zabad,12.35,29.25,86.67,25,45,7.87,SD,1666544491
Warsaw,52.2298,21.0118,58.78,89,75,5.75,PL,1666544309
Volga,57.9516,38.3879,40.93,91,100,8.97,RU,1666544492
Baruun-Urt,46.6806,113.2792,34.9,47,10,7.99,MN,1666544473
Guasdualito,7.2424,-70.7324,86.0,74,76,4.61,VE,1666544493
Lima,-12.0432,-77.0282,59.25,77,100,8.05,PE,1666544282
Nara,34.6851,135.8049,61.5,49,54,7.9,JP,1666544473
Conceição do Araguaia,-8.2578,-49.2647,100.53,28,56,6.98,BR,1666544493
Terrace Bay,48.7834,-87.1,48.92,88,48,11.27,CA,1666544494
Ghanzi,-21.5667,21.7833,83.37,29,95,8.9,BW,1666544494
Kiryat Gat,31.61,34.7642,72.81,100,16,9.46,IL,1666544495
Alta Floresta,-9.8756,-56.0861,93.02,52,40,5.75,BR,1666544398
Vila,42.0304,-8.1588,52.68,93,99,7.72,PT,1666544495
Pekalongan,-6.8886,109.6753,78.73,85,100,6.58,ID,1666544496
Sept-Îles,50.2001,-66.3821,55.06,76,5,1.01,CA,1666544496
Glazunovka,52.4986,36.3275,45.46,98,100,8.05,RU,1666544497
Hamadan,34.7992,48.5146,60.3,29,22,7.25,IR,1666544497
Makakilo City,21.3469,-158.0858,73.62,83,100,3.44,US,1666544472
Itoman,26.1247,127.6694,77.02,69,75,26.46,JP,1666544498
Mujiayingzi,42.1167,118.7833,38.03,37,0,4.72,CN,1666544498
Lékoni,-1.5843,14.2591,77.0,82,100,2.55,GA,1666544499
Najrān,17.4924,44.1277,77.65,22,0,5.91,SA,1666544329
Carutapera,-1.195,-46.02,87.58,57,73,12.26,BR,1666544499
Ouallam,14.3188,2.0866,94.44,13,2,7.0,NE,1666544500
San Félix,-32.3333,-58.1333,70.38,41,0,6.49,UY,1666544500
Chivasso,45.1894,7.8872,66.7,81,75,5.75,IT,1666544501
San Jose,37.3394,-121.895,60.4,62,0,6.91,US,1666544403
Sretensk,52.2453,117.7093,28.53,75,85,3.09,RU,1666544501
Puerto Maldonado,-12.6,-69.1833,82.87,57,100,2.8,PE,1666544502
Khurba,50.4072,136.8819,32.31,69,37,2.82,RU,1666544502
Forsytheganj,52.6333,29.7333,50.47,91,98,10.09,BY,1666544503
Buraidah,26.326,43.975,82.85,12,0,7.09,SA,1666544331
Zhigansk,66.7697,123.3711,21.47,92,100,25.14,RU,1666544503
Aswān,24.0934,32.907,78.75,28,0,11.88,EG,1666544504
Pandan,14.0453,124.1694,80.22,84,62,6.58,PH,1666544504
Goba,7.0167,39.9833,49.37,93,87,3.18,ET,1666544505
Ginda,30.6945,78.4932,52.05,56,0,6.67,IN,1666544505
Bagdarin,54.4333,113.6,25.57,76,94,1.21,RU,1666544505
San Lorenzo,-25.3333,-57.5333,85.14,37,0,6.89,PY,1666544506
Beruwala,6.4788,79.9828,77.56,88,100,5.37,LK,1666544506
Indaial,-26.8978,-49.2317,86.61,48,14,1.5,BR,1666544507
Byron Bay,-28.65,153.6167,65.95,93,100,16.6,AU,1666544418
Bathsheba,13.2167,-59.5167,84.65,72,56,11.97,BB,1666544507
Coquimbo,-29.9533,-71.3436,60.57,72,31,9.89,CL,1666544508
Sogod,10.3847,124.9814,77.18,93,100,1.83,PH,1666544509
Okhotsk,59.3833,143.3,19.27,55,96,12.86,RU,1666544510
Sotuta,20.6,-89.0167,86.18,31,0,4.0,MX,1666544511
Krasnoturansk,54.3186,91.5639,38.75,54,64,21.41,RU,1666544511
Caucaia,-3.7361,-38.6531,87.31,74,67,12.5,BR,1666544512
Chizhou,30.6578,117.4831,59.0,60,14,8.57,CN,1666544512
Mpika,-11.8343,31.4529,73.6,36,90,6.91,ZM,1666544226
Vao,-22.6667,167.4833,72.68,78,100,24.79,NC,1666544513
Diego de Almagro,-26.3667,-70.05,83.86,10,0,11.3,CL,1666544513
Isangel,-19.55,169.2667,73.53,79,100,17.67,VU,1666544514
Yurimaguas,-5.9,-76.0833,80.91,80,96,3.8,PE,1666544514
Hervey Bay,-25.2986,152.8535,68.02,92,28,3.0,AU,1666544515
Hirara,24.8,125.2833,77.29,76,96,25.01,JP,1666544361
Bambanglipuro,-7.95,110.2833,77.41,87,97,6.04,ID,1666544515
Kencong,-8.2833,113.3667,77.11,90,97,2.06,ID,1666544516
Necochea,-38.5473,-58.7368,67.78,33,48,11.95,AR,1666544516
Nokaneng,-19.6667,22.2667,83.41,28,94,6.06,BW,1666544517
Preobrazheniye,42.9019,133.9064,39.6,64,90,7.65,RU,1666544518
Katangli,51.7102,143.2326,27.34,75,84,7.27,RU,1666544518
Kholm,59.2667,32.85,42.57,87,100,7.56,RU,1666544518
Altamirano,16.8833,-92.15,71.58,51,39,3.87,MX,1666544519
Songjianghe,42.1859,127.479,28.26,86,81,1.21,CN,1666544519
Yaan,7.3833,8.5667,80.98,73,99,1.99,NG,1666544520
San Quintín,30.4833,-115.95,66.69,76,96,12.64,MX,1666544520
Chiang Khong,20.2613,100.4046,70.9,93,13,0.45,TH,1666544520
Myszków,50.5752,19.3246,55.98,96,93,1.99,PL,1666544413
Tautira,-17.7333,-149.15,76.8,78,62,5.99,PF,1666544472
São Filipe,14.8961,-24.4956,80.38,68,1,14.23,CV,1666544522
Anapskaya,44.89,37.38,61.03,77,40,17.9,RU,1666544522
Nouakchott,18.0858,-15.9785,82.33,66,0,13.94,MR,1666544414
Simbahan,6.3032,120.5836,83.32,75,100,7.58,PH,1666544523
Altamont,42.2068,-121.7372,39.78,81,75,3.44,US,1666544524
Correntina,-13.3433,-44.6367,85.41,45,92,5.82,BR,1666544524
São José da Coroa Grande,-8.8978,-35.1478,81.64,70,96,11.41,BR,1666544525
Tapiramutá,-11.8472,-40.7914,84.31,41,86,7.9,BR,1666544525
Kaniama,-7.5667,24.1833,77.29,51,89,1.72,CD,1666544526
Geneva,41.8875,-88.3054,74.14,60,0,23.02,US,1666544526
Kommunisticheskiy,61.6789,64.4819,32.54,64,100,15.28,RU,1666544527
La Santisima Trinidad,-14.8333,-64.9,87.67,55,93,6.35,BO,1666544527
Prince Rupert,54.3161,-130.3201,41.9,82,100,16.08,CA,1666544528
Mandalay,21.9747,96.0836,80.94,69,97,4.23,MM,1666544412
Kazygurt,41.7589,69.3864,48.92,82,100,6.08,KZ,1666544528
Salinópolis,-0.6136,-47.3561,85.71,68,80,14.88,BR,1666544529
Nyangao,-10.3333,39.2833,71.83,83,3,8.77,TZ,1666544529
Zapolyarnyy,69.4154,30.8136,36.68,98,100,23.13,RU,1666544530
Kralendijk,12.15,-68.2667,83.73,74,34,15.32,BQ,1666544531
Kahului,20.8947,-156.47,78.84,83,5,15.99,US,1666544531
Kapellen,51.3146,4.4383,67.01,79,100,5.75,BE,1666544532
Taoudenni,22.6783,-3.9836,95.2,9,26,8.77,ML,1666544532
Okha,53.5739,142.9478,27.93,65,62,7.27,RU,1666544533
Matveyevka,52.15,56.1833,32.65,55,23,6.8,RU,1666544533
Voi,-3.3945,38.563,75.69,70,100,11.01,KE,1666544534
Hazorasp,41.3194,61.0742,49.84,47,99,10.47,UZ,1666544534
Biak,-0.9131,122.8766,77.18,78,99,2.1,ID,1666544534
Avera,33.194,-82.5271,74.55,45,7,6.02,US,1666544535
Bismarck,46.8083,-100.7837,52.86,65,0,16.11,US,1666544476
Shimoda,34.6667,138.95,63.1,80,60,8.9,JP,1666544536
Salamiyah,35.0113,37.0532,70.84,52,16,9.17,SY,1666544267
North Platte,41.1239,-100.7654,78.39,23,8,23.0,US,1666544449
Amuntai,-2.4177,115.2494,74.66,98,66,1.92,ID,1666544537
Kurunegala,7.4863,80.3623,73.04,97,100,3.06,LK,1666544537
Ouadda,8.0777,22.4007,74.07,68,12,4.36,CF,1666544537
Nekā,36.6508,53.299,62.64,80,70,1.23,IR,1666544538
Padang,-0.9492,100.3543,75.25,95,100,3.0,ID,1666544304
Tutóia,-2.7619,-42.2744,85.08,67,90,17.34,BR,1666544539
Kenai,60.5544,-151.2583,36.14,71,100,3.74,US,1666544539
Teahupoo,-17.8333,-149.2667,71.56,78,74,8.03,PF,1666544540
Smolenka,52.1352,113.4974,26.67,74,53,2.24,RU,1666544540
Chui,-33.6971,-53.4616,63.7,79,88,14.32,UY,1666544406
Pangnirtung,66.1451,-65.7125,24.78,91,88,0.65,CA,1666544541
Palimé,6.9,0.6333,79.74,76,77,1.77,TG,1666544541
Nichinan,31.6,131.3667,66.52,76,78,4.16,JP,1666544542
Swabi,34.1199,72.4699,68.65,35,0,5.77,PK,1666544542
Mbandaka,0.0487,18.2603,78.87,75,96,2.24,CD,1666544543
Amalāpuram,16.5833,82.0167,73.98,81,86,3.31,IN,1666544543
Nadym,65.5333,72.5167,29.61,69,99,15.37,RU,1666544544
Beloha,-25.1667,45.05,72.19,77,45,5.41,MG,1666544544
Kobyzhcha,50.8285,31.5044,49.68,85,100,9.51,UA,1666544545
Khorramshahr,30.4397,48.1664,87.35,32,1,5.41,IR,1666544546
Coyhaique,-45.5752,-72.0662,49.64,69,83,8.97,CL,1666544546
Nelson Bay,-32.7167,152.15,64.99,97,100,8.99,AU,1666544547
Pacific Grove,36.6177,-121.9166,60.42,74,0,4.0,US,1666544547
Benguela,-12.5763,13.4055,76.98,78,12,6.4,AO,1666544547
Eldorado,-23.7869,-54.2836,79.45,61,0,5.1,BR,1666544548
Gritsovskiy,54.1376,38.1604,42.3,98,100,7.54,RU,1666544548
Sindor,62.8629,51.8905,34.5,96,100,12.8,RU,1666544549
Zhanakorgan,43.9098,67.2495,46.18,52,0,11.05,KZ,1666544549
Cedar City,37.6775,-113.0619,31.39,93,100,5.75,US,1666544549
Kodinsk,58.6881,99.1844,44.71,68,66,17.05,RU,1666544550
French Harbor,16.35,-86.4333,78.08,98,14,6.71,HN,1666544550
Agüimes,27.9054,-15.4461,74.66,73,20,18.41,ES,1666544551
Soyo,-6.1349,12.3689,78.22,84,96,10.2,AO,1666544552
Zenzeli,45.9241,47.0474,48.69,71,23,8.52,RU,1666544553
Husavik,66.0449,-17.3389,33.71,76,97,10.78,IS,1666544554
Gainesville,29.6516,-82.3248,78.08,51,7,1.01,US,1666544332
Puerto Escondido,15.85,-97.0667,86.83,58,20,8.05,MX,1666544554
Tinogboc,12.0074,121.4122,83.14,78,79,16.75,PH,1666544555
Inhambane,-23.865,35.3833,75.18,78,40,5.75,MZ,1666544555
St. George's,12.0564,-61.7485,84.31,73,47,9.66,GD,1666544555
Los Andes,-32.8337,-70.5983,79.02,35,5,8.14,CL,1666544515
Paamiut,61.994,-49.6678,36.36,98,100,12.39,GL,1666544556
Barsovo,61.1667,73.1667,30.33,71,49,15.88,RU,1666544557
Novoanninskiy,50.5287,42.6747,48.49,81,89,9.6,RU,1666544557
Vanavara,60.34,102.2797,43.47,73,62,19.44,RU,1666544557
